"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"LY6E" 412.378903804748 6 0 412.378903804748 6 0 0.422835921260033
"SFN" NA NA NA NA NA NA 0.927801615797995
"HIST1H1C" 238.808218610609 6 0 238.808218610609 6 0 1.00422789085533
"EGR1" NA NA NA NA NA NA 0.243249529029114
"LGALS7B" NA NA NA NA NA NA 1.60423593595548
"TXNIP" NA NA NA NA NA NA 0.553478362254369
"CKS2" 225.341297668633 6 0 225.341297668633 6 0 0.705947206553437
"AQP3" 178.815532866615 6 0 178.815532866615 6 0 1.04163554808952
"NMU" NA NA NA NA NA NA 4.05759241477931
"CHP2" NA NA NA NA NA NA 2.93371142042635
"TNFSF10" NA NA NA NA NA NA 0.297912302475902
"TMSB10" 0 6 1 0 6 1 0.200056628920329
"DBI" NA NA NA NA NA NA 1.65527088850751
"MAL2" 929.567872620051 6 0 929.567872620051 6 0 3.02290252014127
"S100A11" NA NA NA NA NA NA 0.607785671280873
"LRRC75A" NA NA NA NA NA NA 0.113334646315605
"TUBA4A" 784.907212974785 6 0 784.907212974785 6 0 1.41389944878778
"HMGCS1" NA NA NA NA NA NA 0.868017594752071
"CEBPD" 119.955767858253 6 0 119.955767858253 6 0 0.272142580000748
"ELOVL1" NA NA NA NA NA NA 1.40974423128341
"AVPI1" NA NA NA NA NA NA 0.383209693004164
"CLDN1" 1738.92656751057 6 0 1738.92656751057 6 0 0.652190139587745
"RHOV" 753.61991562511 6 0 753.61991562511 6 0 2.12600282806677
"OVOL1" NA NA NA NA NA NA 1.71236372806326
"UAP1" NA NA NA NA NA NA 0.179913922144324
"ATF3" NA NA NA NA NA NA 0.237993805173193
"BMP2" NA NA NA NA NA NA 1.73112656377297
"TMEM40" 729.503546168684 6 0 729.503546168684 6 0 4.30690503084333
"LURAP1L" NA NA NA NA NA NA 0.522496756223509
"C1R" NA NA NA NA NA NA 0.805410334863804
"DNAJA4" NA NA NA NA NA NA 0.952198149927206
"SAT1" 216.272322471542 6 0 216.272322471542 6 0 0.679301664091151
"IRF1" 216.258945548768 6 0 216.258945548768 6 0 0.39299904206384
"THBD" NA NA NA NA NA NA 2.27590732743287
"WNT4" 1019.50667998711 6 0 1019.50667998711 6 0 2.62413566123195
"IER3" 83.2055007298511 6 7.7715611723761e-16 83.2055007298511 6 7.7715611723761e-16 0.0985000883332487
"FTH1" NA NA NA NA NA NA 0.575017593816641
"CTNNAL1" 408.604584322815 6 0 408.604584322815 6 0 2.00819941685269
"GSTP1" 350.907007727435 6 0 350.907007727435 6 0 0.560007032295944
"PRSS3" NA NA NA NA NA NA 3.07120822116714
"VMP1" NA NA NA NA NA NA 0.369283739821639
"ZFP36" 58.7326032521252 6 8.13957790057884e-11 58.7326032521252 6 8.13957790057884e-11 0.363401728005333
"CLEC2A" NA NA NA NA NA NA 2.9695603905535
"PIK3R1" NA NA NA NA NA NA 1.6953253183056
"TXNDC17" 316.936578908302 6 0 316.936578908302 6 0 0.507334514297312
"LDHB" 152.764973685162 6 0 152.764973685162 6 0 1.4511336143566
"HMGB1" 369.891654190857 6 0 369.891654190857 6 0 0.190878156950295
"MT1E" NA NA NA NA NA NA 0.928646688456916
"TUBA1A" NA NA NA NA NA NA 0.588966111163294
"SLC2A1" NA NA NA NA NA NA 2.47693848415917
"CAV1" NA NA NA NA NA NA 0.749919960668875
"DNMT1" 540.52707976252 6 0 540.52707976252 6 0 0.507789053418008
"EGLN3" 247.509469087016 6 0 247.509469087016 6 0 0.5272042594056
"ALDH3A1" NA NA NA NA NA NA 0.539544161067184
"BTG2" NA NA NA NA NA NA 0.230928050733266
"EPPK1" 468.98621171087 6 0 468.98621171087 6 0 1.33333034807894
"DSG1" 1177.5355497898 6 0 1177.5355497898 6 0 2.51684163987879
"DUSP1" NA NA NA NA NA NA 0.491272546979245
"CALD1" 21.0261946370185 6 0.00181483993954457 21.0261946370185 6 0.00181483993954457 1.32696131640925
"IDI1" NA NA NA NA NA NA 0.549697447602434
"CAVIN3" NA NA NA NA NA NA 0.827441776073582
"PPIF" 114.267486179191 6 0 114.267486179191 6 0 0.893749531116647
"VKORC1" NA NA NA NA NA NA 0.950468465919571
"RAB25" NA NA NA NA NA NA 0.896087300461237
"EIF4A3" 95.7309064139231 6 0 95.7309064139231 6 0 0.470404638837555
"JUN" 154.910632457897 6 0 154.910632457897 6 0 0.144315567381138
"BBOX1" NA NA NA NA NA NA 1.55810283297693
"DNAJB1" 88.9960937452327 6 0 88.9960937452327 6 0 0.470289131346188
"ARID5B" NA NA NA NA NA NA 0.671879764485766
"ANGPTL4" NA NA NA NA NA NA 0.121687527774678
"UBE2S" 198.30032656358 6 0 198.30032656358 6 0 0.305897060311674
"HMGB3" 440.205957582384 6 0 440.205957582384 6 0 0.485711705591709
"LGALS7" 728.993950154085 6 0 728.993950154085 6 0 2.29866725919654
"AC020916.1" 54.9078970990113 6 4.83829976083427e-10 54.9078970990113 6 4.83829976083427e-10 0.569200824876431
"TUBB2A" NA NA NA NA NA NA 0.785949009526262
"MIR222HG" NA NA NA NA NA NA 0.930466669887751
"TRIM16" 181.615436528096 6 0 181.615436528096 6 0 1.80132166733524
"FOS" 58.9104517335041 6 7.49065254268544e-11 58.9104517335041 6 7.49065254268544e-11 0.168431398936918
"TUBA1C" NA NA NA NA NA NA 0.913827648074979
"CARHSP1" NA NA NA NA NA NA 0.42106747964488
"PMAIP1" NA NA NA NA NA NA 0.224301265485223
"RRM1" NA NA NA NA NA NA 0.41157766302644
"HSPB1" NA NA NA NA NA NA 0.508429572472647
"DEK" NA NA NA NA NA NA 0.418427517969437
"ERRFI1" 157.948918607964 6 0 157.948918607964 6 0 0.847404739810983
"ZNF750" NA NA NA NA NA NA 1.9123070095156
"DTYMK" NA NA NA NA NA NA 0.641787795210144
"H2AFV" 473.33524283186 6 0 473.33524283186 6 0 0.399973713765259
"FHL2" 300.606193309393 6 0 300.606193309393 6 0 0.435173807966962
"NASP" 465.081248957971 6 0 465.081248957971 6 0 0.41244292868518
"CENPX" 395.687517121301 6 0 395.687517121301 6 0 0.362840367785389
"CHMP1B" NA NA NA NA NA NA 0.714923425195025
"DNAJC9" 518.052113200414 6 0 518.052113200414 6 0 0.519600222156775
"DHCR24" 212.454526980165 6 0 212.454526980165 6 0 0.724926729316505
"ANXA5" NA NA NA NA NA NA 0.419897533175866
"SLC5A3" 98.7741947948517 6 0 98.7741947948517 6 0 0.283618601950213
"CCND2" 466.089384449018 6 0 466.089384449018 6 0 0.933413302556559
"HMGCR" NA NA NA NA NA NA 1.93582669477924
"GGCT" 405.360390134112 6 0 405.360390134112 6 0 0.874144073295012
"DEFB1" 944.366910556998 6 0 944.366910556998 6 0 1.14821176354959
"PERP" 345.908938708484 6 0 345.908938708484 6 0 0.523912016992776
"AL445524.1" 103.291096773905 6 0 103.291096773905 6 0 1.37585479656795
"CCND1" NA NA NA NA NA NA 0.423859942986171
"DDIT3" NA NA NA NA NA NA 0.219533950770874
"CEBPA" 622.469381196434 6 0 622.469381196434 6 0 0.880836835102623
"NIPAL1" NA NA NA NA NA NA 1.18731763327764
"ENO1" 1197.92159704686 6 0 1197.92159704686 6 0 0.578465737567164
"HSPD1" 172.767508300378 6 0 172.767508300378 6 0 0.25044343824764
"MPZL2" NA NA NA NA NA NA 0.778706642801807
"NRARP" NA NA NA NA NA NA 1.07261133904987
"UBB" NA NA NA NA NA NA 0.151645830119973
"CAPN2" 224.83614913633 6 0 224.83614913633 6 0 0.649001003133644
"BAG3" 58.1627261651912 6 1.06210928940698e-10 58.1627261651912 6 1.06210928940698e-10 0.604334111319183
"KCNQ1OT1" 71.9928891740146 6 1.59428026336172e-13 71.9928891740146 6 1.59428026336172e-13 0.601534662617376
"NECTIN4" NA NA NA NA NA NA 2.6700475604349
"LGALS3" NA NA NA NA NA NA 0.705124079378539
"IER5" 94.6452073874829 6 0 94.6452073874829 6 0 0.206004231885801
"SOX7" NA NA NA NA NA NA 0.432335386593539
"DNAJB4" NA NA NA NA NA NA 0.378729308644124
"TUBB4B" 342.574857368371 6 0 342.574857368371 6 0 0.762308155030266
"ACTB" NA NA NA NA NA NA 0.21126042778121
"GAPDH" NA NA NA NA NA NA 0.148785514709384
"CITED2" NA NA NA NA NA NA 0.268343078350622
"SOCS3" 113.571206286655 6 0 113.571206286655 6 0 0.216305274607835
"NTRK2" NA NA NA NA NA NA 1.63729401961452
"NFKBIA" 180.414736485407 6 0 180.414736485407 6 0 0.153892266309779
"SDCBP2" 297.682556671474 6 0 297.682556671474 6 0 1.88065848254508
"SH3BGRL3" NA NA NA NA NA NA 0.947555239181917
"GLUL" NA NA NA NA NA NA 0.60503294437268
"RAD21" 2239.40762411635 6 0 2239.40762411635 6 0 0.461939210762575
"CMTM6" NA NA NA NA NA NA 0.339025314341363
"ITGB1" NA NA NA NA NA NA 0.939301863200962
"HERPUD1" 294.277303224009 6 0 294.277303224009 6 0 0.499301502943721
"VSNL1" NA NA NA NA NA NA 0.411457056478977
"CACNB4" 558.130258884347 6 0 558.130258884347 6 0 0.456738629491116
"TKT" NA NA NA NA NA NA 0.271436107643488
